,holding,total
2002-04-15,"[('KMX', 14.420000076293945, 4.71886902109896), ('LH', 50.29999923706055, 1.352805023387206), ('WRB', 7.635225772857666, 8.912125674942583)]",204.1382749328044
2002-04-22,"[('KMX', 14.6850004196167, 4.621976477927029), ('LH', 48.95000076293945, 1.386592961387752), ('WRB', 7.641810894012451, 8.88189036069941)]",203.62117955345082
2002-04-29,"[('KMX', 15.960000038146973, 4.486180512404776), ('LH', 51.310001373291016, 1.395428556476027), ('WRB', 7.868312835693359, 9.099719678698447)]",214.7983234473433
2002-05-06,"[('KMX', 16.110000610351562, 4.430568490630464), ('LH', 51.97999954223633, 1.373152399323595), ('WRB', 7.618106842041016, 9.369317412872915)]",214.12938326478354
2002-05-13,"[('KMX', 14.699999809265137, 4.689631359617764), ('LH', 48.81999969482422, 1.4120766186570364), ('WRB', 7.96707820892334, 8.652805744355943)]",206.81274027571482
2002-05-20,"[('KMX', 14.074999809265137, 4.73863884880781), ('LH', 46.81999969482422, 1.4245267263536383), ('WRB', 7.855144023895264, 8.49078523452361)]",200.08902267943887
2002-05-27,"[('KMX', 13.234999656677246, 4.999998457121321), ('LH', 49.04999923706055, 1.3491331068846955), ('WRB', 7.765596866607666, 8.52155719645223)]",198.52493359016233
2002-06-03,"[('KMX', 11.800000190734863, 5.3546489334042615), ('LH', 49.099998474121094, 1.2868607005923036), ('WRB', 7.546996116638184, 8.372186424767138)]",189.55457530646555
2002-06-10,"[('KMX', 11.324999809265137, 5.360160844930231), ('LH', 47.70000076293945, 1.2726167625898488), ('WRB', 7.176955223083496, 8.458157903956467)]",182.11146163939597
2002-06-17,"[('KMX', 11.274999618530273, 5.471191663204013), ('LH', 45.810001373291016, 1.3465986043715235), ('WRB', 7.841975212097168, 7.86634518053191)]",185.06305174659377
2002-06-24,"[('KMX', 10.824999809265137, 5.471046286642224), ('LH', 45.650001525878906, 1.2973509973665343), ('WRB', 7.2427978515625, 8.17696092354784)]",177.67222502814843
2002-07-01,"[('KMX', 10.180000305175781, 5.596747566130368), ('LH', 43.75, 1.3022832441416903), ('WRB', 7.1506171226501465, 7.967828643869977)]",170.92467579359686
2002-07-08,"[('KMX', 9.260000228881836, 5.610088854366155), ('LH', 39.099998474121094, 1.3286298236011829), ('WRB', 6.664690971374512, 7.794723611133029)]",155.8482722264341
2002-07-15,"[('KMX', 8.3149995803833, 5.910867826282111), ('LH', 38.25, 1.2849376077186119), ('WRB', 6.41185188293457, 7.66531485639099)]",147.44659048571071
